CohortMonth,CohortIndex,CohortSize,ActiveCustomers,RetentionPct
2009-12,0,955,955,100.0
2009-12,1,955,337,35.3
2009-12,2,955,319,33.4
2009-12,3,955,406,42.5
2009-12,4,955,363,38.0
2009-12,5,955,343,35.9
2009-12,6,955,360,37.7
2009-12,7,955,327,34.2
2009-12,8,955,321,33.6
2009-12,9,955,346,36.2
2009-12,10,955,403,42.2
2009-12,11,955,473,49.5
2009-12,12,955,359,37.6
2009-12,13,955,270,28.3
2009-12,14,955,233,24.4
2009-12,15,955,289,30.3
2009-12,16,955,251,26.3
2009-12,17,955,289,30.3
2009-12,18,955,270,28.3
2009-12,19,955,248,26.0
2009-12,20,955,244,25.5
2009-12,21,955,301,31.5
2009-12,22,955,291,30.5
2009-12,23,955,389,40.7
2009-12,24,955,188,19.7
2010-01,0,383,383,100.0
2010-01,1,383,79,20.6
2010-01,2,383,119,31.1
2010-01,3,383,117,30.5
2010-01,4,383,101,26.4
2010-01,5,383,115,30.0
2010-01,6,383,99,25.8
2010-01,7,383,88,23.0
2010-01,8,383,107,27.9
2010-01,9,383,122,31.9
2010-01,10,383,116,30.3
2010-01,11,383,66,17.2
2010-01,12,383,85,22.2
2010-01,13,383,68,17.8
2010-01,14,383,72,18.8
2010-01,15,383,58,15.1
2010-01,16,383,90,23.5
2010-01,17,383,76,19.8
2010-01,18,383,71,18.5
2010-01,19,383,75,19.6
2010-01,20,383,93,24.3
2010-01,21,383,74,19.3
2010-01,22,383,94,24.5
2010-01,23,383,22,5.7
2010-02,0,374,374,100.0
2010-02,1,374,89,23.8
2010-02,2,374,84,22.5
2010-02,3,374,109,29.1
2010-02,4,374,92,24.6
2010-02,5,374,75,20.1
2010-02,6,374,72,19.3
2010-02,7,374,107,28.6
2010-02,8,374,95,25.4
2010-02,9,374,103,27.5
2010-02,10,374,43,11.5
2010-02,11,374,47,12.6
2010-02,12,374,57,15.2
2010-02,13,374,65,17.4
2010-02,14,374,46,12.3
2010-02,15,374,75,20.1
2010-02,16,374,60,16.0
2010-02,17,374,61,16.3
2010-02,18,374,54,14.4
2010-02,19,374,86,23.0
2010-02,20,374,86,23.0
2010-02,21,374,61,16.3
2010-02,22,374,22,5.9
2010-03,0,443,443,100.0
2010-03,1,443,84,19.0
2010-03,2,443,102,23.0
2010-03,3,443,107,24.2
2010-03,4,443,103,23.3
2010-03,5,443,90,20.3
2010-03,6,443,109,24.6
2010-03,7,443,134,30.2
2010-03,8,443,122,27.5
2010-03,9,443,48,10.8
2010-03,10,443,51,11.5
2010-03,11,443,63,14.2
2010-03,12,443,89,20.1
2010-03,13,443,72,16.3
2010-03,14,443,89,20.1
2010-03,15,443,75,16.9
2010-03,16,443,77,17.4
2010-03,17,443,69,15.6
2010-03,18,443,78,17.6
2010-03,19,443,89,20.1
2010-03,20,443,94,21.2
2010-03,21,443,35,7.9
2010-04,0,294,294,100.0
2010-04,1,294,57,19.4
2010-04,2,294,57,19.4
2010-04,3,294,48,16.3
2010-04,4,294,54,18.4
2010-04,5,294,66,22.4
2010-04,6,294,81,27.6
2010-04,7,294,77,26.2
2010-04,8,294,31,10.5
2010-04,9,294,32,10.9
2010-04,10,294,22,7.5
2010-04,11,294,41,13.9
2010-04,12,294,41,13.9
2010-04,13,294,46,15.6
2010-04,14,294,46,15.6
2010-04,15,294,46,15.6
2010-04,16,294,41,13.9
2010-04,17,294,44,15.0
2010-04,18,294,53,18.0
2010-04,19,294,66,22.4
2010-04,20,294,17,5.8
2010-05,0,254,254,100.0
2010-05,1,254,40,15.7
2010-05,2,254,43,16.9
2010-05,3,254,44,17.3
2010-05,4,254,45,17.7
2010-05,5,254,65,25.6
2010-05,6,254,54,21.3
2010-05,7,254,32,12.6
2010-05,8,254,15,5.9
2010-05,9,254,21,8.3
2010-05,10,254,29,11.4
2010-05,11,254,34,13.4
2010-05,12,254,39,15.4
2010-05,13,254,39,15.4
2010-05,14,254,25,9.8
2010-05,15,254,32,12.6
2010-05,16,254,35,13.8
2010-05,17,254,42,16.5
2010-05,18,254,39,15.4
2010-05,19,254,12,4.7
2010-06,0,270,270,100.0
2010-06,1,270,47,17.4
2010-06,2,270,51,18.9
2010-06,3,270,55,20.4
2010-06,4,270,62,23.0
2010-06,5,270,77,28.5
2010-06,6,270,34,12.6
2010-06,7,270,24,8.9
2010-06,8,270,22,8.1
2010-06,9,270,32,11.9
2010-06,10,270,29,10.7
2010-06,11,270,37,13.7
2010-06,12,270,40,14.8
2010-06,13,270,33,12.2
2010-06,14,270,30,11.1
