Country,Revenue
United Kingdom,17410196.12
Ireland,658767.31
Netherlands,554038.09
Germany,425019.71
France,350456.09
Australia,169283.46
Spain,108332.49
Switzerland,100685.59
Sweden,91869.82
Denmark,68580.69
Belgium,65387.82
Norway,56322.5
Portugal,56283.53
Channel Islands,44623.33
Japan,43023.91
Italy,32108.17
Finland,29925.54
Singapore,25317.06
Cyprus,24849.95
Hong Kong,23685.52
Austria,23613.01
Greece,19096.19
Israel,11328.81
United Arab Emirates,11097.63
Unspecified,10927.16
Poland,10654.29
USA,8366.86
Malta,8099.09
Iceland,4921.53
Lithuania,4892.68
Canada,4883.04
RSA,4804.32
Bahrain,3109.79
Thailand,3070.54
Lebanon,1905.58
Brazil,1411.87
European Community,1300.25
Bermuda,1253.14
Korea,1118.51
Czech Republic,826.74
West Indies,536.41
Saudi Arabia,145.92
Nigeria,140.39
