CustomerID,TotalOrders,TotalRevenue,LastPurchaseDate,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,12,77556.46,2011-01-18 10:01:00,325,2,5,5,255,At Risk
12347,8,4921.53,2011-12-07 15:52:00,1,5,4,5,545,Champions
12348,5,2019.4,2011-09-25 13:13:00,74,3,4,4,344,Loyal Customers
12349,4,4428.69,2011-11-21 09:51:00,18,5,3,5,535,Loyal Customers
12350,1,334.4,2011-02-02 16:01:00,309,2,1,2,212,Others
12351,1,300.93,2010-11-29 15:23:00,374,2,1,2,212,Others
12352,10,2849.84,2011-11-03 14:37:00,35,4,5,4,454,Champions
12353,2,406.76,2011-05-19 17:47:00,203,2,2,2,222,Others
12354,1,1079.4,2011-04-21 13:11:00,231,2,1,3,213,Others
12355,2,947.61,2011-05-09 13:49:00,213,2,2,3,223,Others
12356,6,6371.73,2011-11-17 08:40:00,22,4,4,5,445,Champions
12357,3,18287.66,2011-11-06 16:07:00,32,4,3,5,435,Loyal Customers
12358,5,3887.07,2011-12-08 10:26:00,1,5,4,5,545,Champions
12359,10,8873.39,2011-10-13 12:47:00,57,4,5,5,455,Champions
12360,8,4252.89,2011-10-18 15:22:00,51,4,4,5,445,Champions
12361,4,511.25,2011-02-25 13:51:00,286,2,3,2,232,Others
12362,11,5356.23,2011-12-06 15:40:00,2,5,5,5,555,Champions
12363,2,552.0,2011-08-22 10:18:00,109,3,2,2,322,Others
12364,4,1313.1,2011-12-02 10:22:00,7,5,3,4,534,Loyal Customers
12365,2,641.38,2011-02-21 14:04:00,290,2,2,3,223,Others
12366,1,500.24,2010-03-16 10:28:00,633,1,1,2,112,Others
12367,1,168.9,2011-12-05 16:48:00,3,5,1,1,511,Potential Loyalists
12368,1,917.6999999999999,2010-03-21 15:56:00,627,1,1,3,113,Others
12369,3,1791.15,2010-10-22 13:13:00,412,1,3,4,134,At Risk
12370,7,4316.56,2011-10-19 14:51:00,50,4,4,5,445,Champions
12371,5,4067.38,2011-10-26 10:16:00,44,4,4,5,445,Champions
12372,3,1298.04,2011-09-29 12:12:00,71,3,3,4,334,Loyal Customers
12373,3,1127.65,2011-02-01 13:10:00,310,2,3,3,233,Others
12374,4,2989.2200000000003,2011-11-14 15:37:00,24,4,3,5,435,Loyal Customers
12375,2,457.5,2011-11-29 10:36:00,10,5,2,2,522,Potential Loyalists
12376,2,503.15,2010-11-15 12:15:00,389,2,2,2,222,Others
12377,4,3426.32,2011-01-28 15:45:00,314,2,3,5,235,At Risk
12378,2,5416.32,2011-08-02 10:34:00,129,3,2,5,325,Others
12379,4,1620.22,2011-09-19 10:09:00,81,3,3,4,334,Loyal Customers
12380,11,9676.300000000001,2011-11-18 11:27:00,21,4,5,5,455,Champions
12381,5,1845.31,2011-12-05 12:44:00,4,5,4,4,544,Champions
12383,5,1850.56,2011-06-08 08:02:00,184,3,4,4,344,Loyal Customers
12384,2,585.27,2011-11-11 08:39:00,28,4,2,2,422,Potential Loyalists
12385,1,1938.4,2010-11-25 15:14:00,378,2,1,4,214,At Risk
12386,2,401.9,2011-01-06 12:37:00,337,2,2,2,222,Others
12387,1,143.94,2010-10-20 16:27:00,414,1,1,1,111,Others
12388,8,3901.11,2011-11-24 12:30:00,15,5,4,5,545,Champions
12389,3,1433.33,2010-11-02 11:52:00,402,2,3,4,234,At Risk
12390,1,549.84,2011-09-21 09:33:00,79,3,1,2,312,Others
12391,6,2724.84,2011-11-18 12:07:00,21,4,4,4,444,Champions
12392,1,234.75000000000003,2010-04-27 14:04:00,590,1,1,1,111,Others
12393,6,2399.4500000000003,2011-09-28 15:41:00,71,3,4,4,344,Loyal Customers
12394,2,1272.48,2011-10-07 08:08:00,63,3,2,4,324,Others
12395,15,4721.17,2011-11-20 15:21:00,18,5,5,5,555,Champions
12396,1,931.43,2010-02-03 13:22:00,673,1,1,3,113,Others
12397,2,2409.9,2011-11-04 09:52:00,35,4,2,4,424,Potential Loyalists
12398,1,1635.6599999999999,2011-10-25 10:27:00,45,4,1,4,414,Potential Loyalists
12399,7,1962.3,2011-08-12 13:15:00,118,3,4,4,344,Loyal Customers
12400,1,205.25,2010-10-21 13:45:00,413,1,1,1,111,Others
12401,1,84.3,2011-02-09 13:50:00,302,2,1,1,211,Others
12402,6,1256.9,2011-01-20 13:49:00,322,2,4,4,244,At Risk
12403,2,1019.36,2011-10-21 10:51:00,49,4,2,3,423,Potential Loyalists
12404,1,63.24,2010-01-26 16:25:00,681,1,1,1,111,Others
12405,1,1710.39,2011-07-14 08:52:00,148,3,1,4,314,Others
12406,5,6390.36,2011-11-17 19:22:00,21,4,4,5,445,Champions
12407,5,1708.1200000000001,2011-10-21 10:11:00,49,4,4,4,444,Champions
12408,8,4340.7699999999995,2011-11-07 12:27:00,32,4,4,5,445,Champions
12409,7,23419.29,2011-09-22 10:38:00,78,3,4,5,345,Loyal Customers
12410,3,1013.71,2011-02-04 10:39:00,308,2,3,3,233,Others
12411,1,346.9,2010-10-26 09:25:00,409,2,1,2,212,Others
12412,6,2596.93,2011-09-26 10:16:00,74,3,4,4,344,Loyal Customers
12413,4,999.45,2011-10-04 09:00:00,66,3,3,3,333,Loyal Customers
12414,6,952.41,2011-05-06 14:51:00,216,2,4,3,243,Others
12415,28,144458.37,2011-11-15 14:22:00,23,4,5,5,455,Champions
12416,1,202.56,2010-02-21 10:19:00,656,1,1,1,111,Others
12417,20,6797.41,2011-12-06 14:52:00,2,5,5,5,555,Champions
12418,4,2021.2,2011-08-19 11:08:00,112,3,3,4,334,Loyal Customers
12419,2,503.01,2010-11-19 10:04:00,385,2,2,2,222,Others
12420,1,600.39,2011-10-07 08:55:00,63,3,1,2,312,Others
12421,6,1098.6,2011-11-24 09:07:00,15,5,4,3,543,Loyal Customers
12422,17,5231.8,2011-09-05 09:48:00,95,3,5,5,355,Loyal Customers
12423,10,2622.39,2011-12-09 10:10:00,0,5,5,4,554,Champions
12424,4,3340.03,2011-06-30 12:06:00,162,3,3,5,335,Loyal Customers
12425,2,1741.41,2011-09-22 17:31:00,77,3,2,4,324,Others
12426,2,1345.21,2011-05-29 12:26:00,194,2,2,4,224,At Risk
12427,3,825.8,2011-11-18 08:56:00,21,4,3,3,433,Loyal Customers
12428,9,7956.46,2011-11-14 08:22:00,25,4,5,5,455,Champions
12429,8,6204.41,2011-11-30 17:22:00,8,5,4,5,545,Champions
12430,1,256.4,2011-10-27 15:09:00,42,4,1,1,411,Potential Loyalists
12431,27,10432.22,2011-11-04 11:55:00,35,4,5,5,455,Champions
12432,5,5059.32,2011-10-28 11:43:00,42,4,4,5,445,Champions
12433,10,16794.14,2011-12-09 10:02:00,0,5,5,5,555,Champions
12434,3,1103.43,2011-09-16 12:38:00,84,3,3,3,333,Loyal Customers
12435,6,13925.93,2011-09-21 09:06:00,79,3,4,5,345,Loyal Customers
12436,1,509.01,2011-09-01 12:09:00,99,3,1,2,312,Others
12437,39,12683.4,2011-12-08 11:35:00,1,5,5,5,555,Champions
12438,2,2906.85,2011-11-25 13:28:00,13,5,2,4,524,Potential Loyalists
12439,2,1142.88,2010-01-26 12:11:00,682,1,2,3,123,Others
12440,2,859.2,2010-09-03 13:11:00,461,1,2,3,123,Others
12441,1,173.55,2010-12-08 10:45:00,366,2,1,1,211,Others
12442,1,172.06,2011-12-06 14:22:00,2,5,1,1,511,Potential Loyalists
12443,1,485.31,2009-12-07 15:42:00,731,1,1,2,112,Others
12444,5,5005.46,2011-11-18 13:23:00,20,4,4,5,445,Champions
12445,2,434.98,2011-11-17 18:43:00,21,4,2,2,422,Potential Loyalists
12446,1,1002.3100000000001,2011-10-13 12:50:00,57,4,1,3,413,Potential Loyalists
12447,1,476.49,2011-04-10 13:25:00,242,2,1,2,212,Others
12448,1,449.45,2011-10-26 13:46:00,43,4,1,2,412,Potential Loyalists
12449,6,4835.89,2011-11-17 13:46:00,21,4,4,5,445,Champions
12450,5,688.2,2011-07-06 14:41:00,155,3,4,3,343,Loyal Customers
12451,8,12669.88,2011-11-29 08:40:00,10,5,4,5,545,Champions
12452,2,430.57,2011-11-23 10:28:00,16,5,2,2,522,Potential Loyalists
12453,1,707.09,2011-07-28 14:08:00,133,3,1,3,313,Others
12454,5,16679.78,2011-10-14 17:13:00,55,4,4,5,445,Champions
12455,10,5879.95,2011-09-27 15:31:00,72,3,5,5,355,Loyal Customers
12456,3,3181.04,2011-10-26 14:41:00,43,4,3,5,435,Loyal Customers
12457,8,2995.91,2011-10-04 13:13:00,65,3,4,5,345,Loyal Customers
12458,4,1777.49,2011-09-29 15:25:00,70,3,3,4,334,Loyal Customers
12459,1,454.36,2010-04-13 14:53:00,604,1,1,2,112,Others
12460,1,326.65,2010-09-09 13:51:00,455,1,1,2,112,Others
12461,2,826.88,2011-09-06 16:57:00,93,3,2,3,323,Others
12462,2,1189.59,2011-11-21 09:11:00,18,5,2,3,523,Potential Loyalists
12463,4,1344.78,2011-10-17 13:44:00,52,4,3,4,434,Loyal Customers
12464,8,1212.05,2011-11-29 13:33:00,9,5,4,3,543,Loyal Customers
12465,2,742.1899999999999,2011-11-22 16:34:00,16,5,2,3,523,Potential Loyalists
12466,1,56.73,2010-01-26 16:26:00,681,1,1,1,111,Others
12467,1,132.8,2010-10-12 15:41:00,422,1,1,1,111,Others
12468,5,3670.74,2011-06-05 11:36:00,187,3,4,5,345,Loyal Customers
12469,2,3070.54,2010-07-05 12:40:00,522,1,2,5,125,At Risk
12470,1,211.95,2010-01-19 11:01:00,689,1,1,1,111,Others
12471,79,39918.19,2011-12-07 15:43:00,1,5,5,5,555,Champions
12472,19,16249.289999999999,2011-11-07 14:01:00,31,4,5,5,455,Champions
12473,5,3928.0499999999997,2011-11-10 13:46:00,28,4,4,5,445,Champions
12474,31,12372.75,2011-11-22 14:39:00,16,5,5,5,555,Champions
12475,2,1149.64,2011-10-17 10:10:00,53,4,2,3,423,Potential Loyalists
12476,23,14083.91,2011-11-24 12:40:00,15,5,5,5,555,Champions
12477,9,20276.37,2011-11-17 09:51:00,22,4,5,5,455,Champions
12478,1,680.99,2011-12-06 09:56:00,3,5,1,3,513,Potential Loyalists
12479,1,527.2,2011-11-28 13:26:00,10,5,1,2,512,Potential Loyalists
12480,7,5464.85,2011-11-11 14:52:00,27,4,4,5,445,Champions
12481,15,12185.51,2011-11-17 08:29:00,22,4,5,5,455,Champions
12482,29,23691.4,2010-05-12 16:51:00,575,1,5,5,155,At Risk
12483,19,5097.18,2011-11-22 17:02:00,16,5,5,5,555,Champions
12484,12,6354.1,2011-11-07 11:37:00,32,4,5,5,455,Champions
12485,1,708.1,2010-06-28 15:22:00,528,1,1,3,113,Others
12486,1,1037.28,2010-10-04 12:14:00,431,1,1,3,113,Others
12487,1,285.29999999999995,2009-12-09 11:36:00,730,1,1,1,111,Others
12488,3,1298.66,2011-11-30 08:50:00,9,5,3,4,534,Loyal Customers
12489,1,334.93,2011-01-07 13:13:00,335,2,1,2,212,Others
12490,21,9823.64,2011-12-04 16:07:00,4,5,5,5,555,Champions
12491,1,460.40000000000003,2011-11-01 12:18:00,38,4,1,2,412,Potential Loyalists
12492,3,715.21,2011-10-07 15:15:00,62,3,3,3,333,Loyal Customers
12493,2,433.74,2011-06-27 10:17:00,165,3,2,2,322,Others
12494,9,1815.27,2011-11-24 09:34:00,15,5,5,4,554,Champions
12495,1,357.4,2010-03-09 10:53:00,640,1,1,2,112,Others
12496,2,45.34,2010-03-29 14:06:00,619,1,2,1,121,Others
12497,3,6248.5,2011-09-19 12:29:00,81,3,3,5,335,Loyal Customers
12498,3,403.70000000000005,2011-11-18 12:53:00,20,4,3,2,432,Others
12499,1,393.72,2010-05-28 15:12:00,559,1,1,2,112,Others
12500,19,5955.21,2011-11-16 16:20:00,22,4,5,5,455,Champions
12501,1,2169.39,2011-01-07 12:28:00,336,2,1,4,214,At Risk
12502,5,3723.87,2011-09-05 11:52:00,95,3,4,5,345,Loyal Customers
12503,1,1126.0,2010-05-04 13:59:00,583,1,1,3,113,Others
12504,4,779.05,2011-11-21 16:02:00,17,5,3,3,533,Loyal Customers
12505,1,955.2,2010-10-27 09:18:00,408,2,1,3,213,Others
12506,1,73.5,2011-04-21 08:54:00,232,2,1,1,211,Others
12507,4,1844.06,2011-07-28 17:09:00,133,3,3,4,334,Loyal Customers
12508,2,397.88,2011-11-13 15:37:00,25,4,2,2,422,Potential Loyalists
12509,1,176.5,2011-02-28 14:45:00,283,2,1,1,211,Others
12510,9,5178.02,2011-07-20 10:15:00,142,3,5,5,355,Loyal Customers
12511,1,3084.02,2010-10-07 10:39:00,428,1,1,5,115,At Risk
12512,2,132.18,2011-10-04 14:55:00,65,3,2,1,321,Others
12513,1,612.29,2011-08-19 10:51:00,112,3,1,3,313,Others
12514,2,1597.76,2011-03-17 16:38:00,266,2,2,4,224,At Risk
12515,1,383.7,2010-12-21 15:43:00,352,2,1,2,212,Others
12516,4,2648.62,2011-09-23 09:13:00,77,3,3,4,334,Loyal Customers
12517,5,2481.6,2011-11-11 14:04:00,27,4,4,4,444,Champions
12518,5,2056.89,2011-12-09 10:13:00,0,5,4,4,544,Champions
12519,2,716.54,2011-10-07 09:26:00,63,3,2,3,323,Others
12520,5,2634.26,2011-09-21 15:23:00,78,3,4,4,344,Loyal Customers
12521,1,599.68,2011-07-20 10:51:00,142,3,1,2,312,Others
12522,2,192.72,2011-10-31 15:30:00,38,4,2,1,421,Potential Loyalists
12523,23,4352.35,2011-11-20 12:55:00,18,5,5,5,555,Champions
12524,17,11126.11,2011-11-30 15:31:00,8,5,5,5,555,Champions
12525,3,973.73,2010-07-29 16:08:00,497,1,3,3,133,Others
12526,3,1316.66,2011-12-09 12:09:00,0,5,3,4,534,Loyal Customers
12527,5,735.51,2011-09-19 11:55:00,81,3,4,3,343,Loyal Customers
12528,6,1933.48,2011-11-30 14:40:00,8,5,4,4,544,Champions
12529,1,316.48,2010-06-29 13:10:00,527,1,1,2,112,Others
12530,9,3759.26,2011-10-11 12:34:00,59,3,5,5,355,Loyal Customers
12531,2,1933.2,2011-11-25 11:12:00,14,5,2,4,524,Potential Loyalists
