YearMonth,Revenue,Orders
2009-12,822483.95,1682
2010-01,651155.11,1105
2010-02,551504.73,1201
2010-03,830915.26,1681
2010-04,678875.25,1462
2010-05,657705.5,1500
2010-06,749537.31,1645
2010-07,648810.27,1529
2010-08,695251.91,1425
2010-09,921696.99,1839
2010-10,1161902.22,2301
2010-11,1464293.14,2747
2010-12,821452.73,1559
2011-01,689811.61,1086
2011-02,522545.56,1100
2011-03,716215.26,1454
2011-04,536968.49,1246
2011-05,769296.61,1681
2011-06,760547.01,1534
2011-07,718076.12,1475
2011-08,757841.38,1362
2011-09,1056435.19,1837
2011-10,1151263.73,2040
2011-11,1503866.78,2769
2011-12,637808.33,819
